index,slack,datapath_delay,logic_levels,startpoint,endpoint
4613,-0.207,2.187,4,bf_cycle_reg[1]/C,signal_reg_reg[10][4]/D
4614,-0.206,2.187,4,bf_cycle_reg[2]/C,signal_reg_reg[59][6]/D
4615,-0.206,2.187,7,operand_coeff_reg_reg[55][0]/C,lane_product_reg_reg[55][1]/D
4616,-0.206,2.187,7,operand_coeff_reg_reg[56][0]/C,lane_product_reg_reg[56][0]/D
4617,-0.206,2.187,7,operand_coeff_reg_reg[40][1]/C,lane_product_reg_reg[40][0]/D
4618,-0.206,2.186,5,bf_cycle_reg[2]/C,signal_reg_reg[78][6]/D
4619,-0.206,2.187,5,bf_cycle_reg[2]/C,signal_reg_reg[22][11]/D
4620,-0.206,2.187,5,bf_cycle_reg[2]/C,signal_reg_reg[116][4]/D
4621,-0.206,2.185,4,bf_cycle_reg[1]/C,signal_reg_reg[15][3]/D
4622,-0.206,2.185,6,bf_cycle_reg[3]/C,signal_reg_reg[57][18]/D
4623,-0.205,2.187,7,operand_coeff_reg_reg[75][0]/C,lane_product_reg_reg[88][2]/D
4624,-0.205,2.186,7,operand_coeff_reg_reg[91][7]/C,lane_product_reg_reg[91][10]/D
4625,-0.205,2.185,7,operand_coeff_reg_reg[104][1]/C,lane_product_reg_reg[99][1]/D
4626,-0.205,2.188,7,operand_coeff_reg_reg[31][2]/C,lane_product_reg_reg[94][7]/D
4627,-0.205,2.187,7,operand_x_reg_reg[107][0]/C,lane_product_reg_reg[107][0]/D
4628,-0.205,2.188,7,operand_x_reg_reg[21][0]/C,lane_product_reg_reg[21][1]/D
4629,-0.205,2.102,1,capture_pending_reg/C,final10_mem_reg[0][49][2]/CE
4630,-0.205,2.102,1,capture_pending_reg/C,final10_mem_reg[0][49][3]/CE
4631,-0.205,2.102,1,capture_pending_reg/C,final10_mem_reg[0][49][4]/CE
4632,-0.205,2.102,1,capture_pending_reg/C,final10_mem_reg[0][49][5]/CE
4633,-0.205,2.186,5,bf_cycle_reg[2]/C,signal_reg_reg[49][11]/D
4634,-0.205,2.186,3,bf_cycle_reg[2]/C,signal_reg_reg[60][2]/D
4635,-0.205,2.186,3,bf_cycle_reg[2]/C,signal_reg_reg[60][1]/D
4636,-0.205,2.186,3,bf_cycle_reg[2]/C,signal_reg_reg[76][1]/D
4637,-0.205,2.185,5,bf_cycle_reg[2]/C,signal_reg_reg[59][10]/D
4638,-0.204,2.185,6,bf_cycle_reg[5]/C,signal_reg_reg[32][20]/D
4639,-0.204,2.184,6,bf_cycle_reg[5]/C,signal_reg_reg[25][16]/D
